t,x,x_exact,error
0.0,1.0,1.0,0.0
0.1,0.990566037735849,0.9950863850030472,-0.004520347267198299
0.2,0.9723211107155569,0.9807143081604138,-0.008393197444856892
0.30000000000000004,0.9459360747462667,0.9574851342127875,-0.011549059466520739
0.4,0.9121206061455566,0.9260572201736855,-0.013936614028128957
0.5,0.8716143092944567,0.8871367194428248,-0.015522410148368082
0.6000000000000001,0.8251780451963016,0.8414683685850869,-0.016290323388785333
0.7000000000000001,0.7735855503376996,0.7898263474124451,-0.01624079707474546
0.8,0.7176154084867761,0.7330052978713706,-0.015389889384594513
0.9,0.6580434311888598,0.6718115815205183,-0.013768150331658568
1.0,0.5956354957079117,0.6070548491670357,-0.011419353459123927
1.1,0.5311408820871315,0.5395399895995788,-0.008399107512447324
1.2000000000000002,0.46528614393463,0.4700595173968375,-0.004773373462207464
1.3,0.39876954054609437,0.39938645258593997,-0.0006169120398455963
1.4000000000000001,0.3322560511177957,0.32826773755771593,0.0039883135600797814
1.5,0.2663729851371574,0.2574182291951657,0.008954755941991688
1.6,0.20170619661639339,0.1875152967143102,0.014190899902083193
1.7000000000000002,0.1387969037041972,0.11919404832586884,0.019602855378328357
1.8,0.0781391094124631,0.05304320257071858,0.025095906841744522
1.9000000000000001,0.02017761376542658,-0.01039838687405812,0.0305760006394847
2.0,-0.03469339735220622,-0.0706445509194641,0.03595115356725788
2.1,-0.08613120597872577,-0.12726397380585008,0.041132767827124314
2.2,-0.133844881985077,-0.17988172147343304,0.046036839488356046
2.3000000000000003,-0.17759509631196418,-0.2281801458978369,0.050585049585872705
2.4000000000000004,-0.21719345797589582,-0.2718991870115583,0.05470572903566248
2.5,-0.252501408055304,-0.310836098648911,0.058334690593606964
2.6,-0.2834287061674315,-0.3448446292760979,0.06141592310866639
2.7,-0.30993154678106655,-0.3738336920814437,0.06390214530037713
2.8000000000000003,-0.3320103440884481,-0.39776556229128174,0.06575521820283364
2.9000000000000004,-0.34970722509457736,-0.41665364233790525,0.0669464172433279
3.0,-0.36310327109003343,-0.430559837736343,0.06745656664630956
3.1,-0.3723155477735766,-0.4395915882305868,0.06727604045701019
3.2,-0.3774939640054704,-0.4438985999564005,0.0664046359509301
3.3000000000000003,-0.37881799852607334,-0.4436693250506087,0.06485132652453535
3.4000000000000004,-0.3764933329933773,-0.43912723533373893,0.06263390234036165
3.5,-0.37074842840599065,-0.43052693642582857,0.05977850801983792
3.6,-0.36183108041406,-0.41815016794935034,0.05631908753529036
3.7,-0.3500049872102191,-0.4023017343568338,0.0522967471466147
3.8000000000000003,-0.3355463616668766,-0.3833054094247699,0.0477590477578933
3.9000000000000004,-0.3187406171763,-0.361499855612867,0.04275923843656704
4.0,-0.29987915428730033,-0.3372345973335527,0.03735544304625238
4.1000000000000005,-0.2792562727477978,-0.31086608474695765,0.031609811999159854
4.2,-0.2571662309864954,-0.28275388202862045,0.02558765104212507
4.3,-0.2339004724287904,-0.2532570111884044,0.01935653875961399
4.4,-0.2097450353703065,-0.22273047948741378,0.012985444117107281
4.5,-0.18497816045314902,-0.1915220153424854,0.00654385488933637
4.6000000000000005,-0.15986810713080093,-0.15996903436203574,0.00010092723123480973
4.7,-0.13467118789150273,-0.12839585385861343,-0.006275334032889296
4.800000000000001,-0.10963002645922611,-0.0971111708671324,-0.012518855592093703
4.9,-0.08497204372633094,-0.06640581539667491,-0.01856622832965603
5.0,-0.06090817281108709,-0.03655078738934377,-0.024357385421743323
5.1000000000000005,-0.03763180239282792,-0.007795582681391857,-0.029836219711436067
5.2,-0.015317945371896367,0.019633189813012694,-0.03495113518490906
5.300000000000001,0.005877372057019209,0.04553290042157495,-0.03965552836455574
5.4,0.025817507630929944,0.0697257040591486,-0.04390819642821866
5.5,0.044385394892818085,0.09205906474552858,-0.047673669852710494
5.6000000000000005,0.06148353952768597,0.11240600787993277,-0.0509224683522468
5.7,0.0770338312631492,0.1306651110909696,-0.0536312798278204
5.800000000000001,0.0909771835488395,0.1467602465010963,-0.05578306295225678
5.9,0.10327301416223753,0.160640089041106,-0.05736707487886847
6.0,0.11389858064504474,0.17227740701649022,-0.05837882637144548
6.1000000000000005,0.12284818505670207,0.18166815245950252,-0.05881996740280045
6.2,0.13013226294452312,0.1888303698969148,-0.058698106952391665
6.300000000000001,0.13577637167883994,0.19380294302457254,-0.05802657134573261
6.4,0.13982009339348936,0.19664419940902642,-0.05682410601553706
6.5,0.14231586771491817,0.19743039373890456,-0.05511452602398639
6.6000000000000005,0.14332776926612537,0.19625409033143984,-0.052926321065314474
6.7,0.14293024460437626,0.19322246557161304,-0.05029222096723679
6.800000000000001,0.14120682280457167,0.1884555507332534,-0.04724872792868173
6.9,0.13824881334433553,0.18208443521515089,-0.043835621870815356
7.0,0.1341540042936945,0.17424944963400527,-0.04009544534031076
7.1000000000000005,0.12902537307333792,0.16509834746416246,-0.03607297439082455
7.2,0.12296982123268702,0.15478450301673422,-0.0318146817840472
7.300000000000001,0.11609694382421741,0.14346514252369427,-0.02736819869947686
7.4,0.10851784302543271,0.13129962395224173,-0.02278178092680902
7.5,0.10034399469615062,0.1184477799377369,-0.01810378524158629
7.6000000000000005,0.09168617556761892,0.10506833690664101,-0.013382161339022092
7.7,0.08265345775232846,0.09131742208084137,-0.008663964328512908
7.800000000000001,0.073352276249674,0.07734716862805396,-0.003994892378379966
7.9,0.06388557411273889,0.06330442776585671,0.0005811463468821804
8.0,0.0543520289447554,0.049329595154979616,0.005022433789775786
8.1,0.044845363418877064,0.03555555744586256,0.009289805973014507
