iteration,x,error
0,3.5,10.25
1,2.1333333333333333,2.551111111111111
2,1.680473372781065,0.8239907566261682
3,1.4644187008688456,0.1445221314543974
4,1.4184641408808243,0.012040518964774982
5,1.4142875858053265,0.00020937536305876137
6,1.4142136734461577,3.141620754654184e-7
